Apalaí,Apinayé,Apurinã,Bakairi,Guajajara,Guarani,Kadiwéu,Kagwahiva,Kaigáng,Kaiwá,Karajá,Kayabí,kayapó,Macushi,Maxakalí,Mundurukú,Nadëb,Nambikuára,Parecis,Paumarí,Português,Rikbaktsa,Sateré-Mawé,Terena,Tukano,Urubu-Kaapor,Xavánte
tynenyokyh,xàptàr,tiretakini,tâdâpeân,eremuze,ojejavy,awitak,nhandejatykahavuhuapype,tá,kurusu,robiõhyy,imoꞌwyꞌwyr,itỳx,eposaꞌyaꞌnî,kotĩnn,ẽxi,rabeg,yaxtx,kehalakitere,akapoarijahaki,produzi,tsikyzik,tuweꞌyat,nenê,nemókã,chulincäta,simiropi
ikurikah,juisti,anãpa,sadyzeân,hemuze,omboayvu,lidikon,nerembireko,kavé,japeusa,reaõhyy,rerowiarukareꞌemaw,apytàr,eeseꞌma,koitn,wuyjojo,beg,tkx,kakaokatyakitere,baranahasiaga,ordena,myokbazo,ꞌat,namukópea,pãha,mayanmannü,tinhimiropi
nypanakah,mẽkarõmnuti,pimisiritakiri,kâenkazeze,wazeꞌez,omonoꞌõ,owikomata,zorobabel,vẽsỹré,ovyꞌapa,ròwahi,esaukaripyr,tỹm,rumakaꞌpîyaꞌnî,yãyxaxog,jemukaypin,tabaheg,khãuhxs,mawakaharene,vanapohimajakamari,obriga,tsipikny,ꞌyia,koyuípe,atá,lulaśhuptiqui,wapi
akoĩ,wajaga,itariakori,nhatâwâ,pezeruz,oiny,miniwat,mohembirekoha,jẽmẽ,morotĩ,rariaõhyy,apyg,akuprỳ,iwîpaiꞌnî,hupm,iisu,tahag,oxt,hahanane,vanaabinira,atiça,tsiktsumuẽhĩkĩ,kawia,yuvâ,wẽhékã,julaycamunayquipä,aropi
atamorepatopõ,kaxipix,nitariakori,tadakaladâ,peruz,oẽmba,yelated,imongopa,kugry,amombaꞌe,raòludu,esakaw,amar,tîîpiapaiꞌnî,ãkutn,pebic,rabahag,waixkx,metala,najoi,profetiza,tsiktsasoko,hiwu,ixî,bɨti,ñacaśhtin,nhimiropi
kyryrỹ,mũj,makipakani,emagaze,wanemiruz,onhembopyꞌa,analeed,momborukaha,mrã,imorotĩ,reaõhyky,waparasig,banhõbikwak,eraꞌmaꞌnî,ãmiy,itabutkarey,mabeg,kotsx,jiyitere,kosoko,acorda,tsipupurukuk,marakꞌa,enekópi,bokatíkã,cuntramänïcunäta,wasipi
erunoh,kôwenatô,omitikakani,kienkaunâ,nereruz,nhanemongeta,igamoda,penhomomorandu,kãkutẽ,huvixa,rỹiõhyy,jarejemomeꞌur,bikamẽnhk,awanîyakon,xakg,itadaybotboc,tabahag,yextx,maiyateretatere,nanokiahijora,afoga,zinaroko,rotia,mborexoâ,ohâkã,ashllaćhü,dapi
imũkepyh,xwỳnhti,ikinimane,xumywâ,nanemuz,ojekore,latiam,nhimanoha,gĩ,yvotyty,rady,teur,byrk,waraino,kupexy,jemukaypinpuc,rahag,lhits,xawaiyetitere,anaibavijahajahaki,calcula,ziborobaik,sama,ituké,sãyâkã,tantiachimäśhallanchicta,maipi
osexih,nhĩgêt,nisini,kydâpyneân,umaꞌem,jajajevy,nowookon,ekupeupa,fakrĩ,hierro,rõhõtinyõhyy,porokatuꞌogiwer,mẽnhk,asan,mõkn,ejuac,taheg,kaxkh,maxahenere,kanamonibakhia,recusa,kozo,wehũ,yahikúxopivoa,dohakã,śhamücunaćhü,dato
zerỹ,akràmnhwỳ,imokaiakari,igâtudon,zanemuzeruz,oguerovyꞌa,jilakiden,aminadabe,ũ,amandau,ribedeerynany,esageayr,ikrak,yekaꞌmayaꞌnî,ãxexkãn,mari,baheg,khaixx,exairatyaka,nofikaraho,responde,mymykniki,hupia,okoponova,âtikã,śhalcachinanpä,pisutu
