Apalaí,Apinayé,Apurinã,Bakairi,Guajajara,Guarani,Kadiwéu,Kagwahiva,Kaigáng,Kaiwá,Karajá,Kayabí,kayapó,Macushi,Maxakalí,Mundurukú,Nadëb,Nambikuára,Parecis,Paumarí,Português,Rikbaktsa,Sateré-Mawé,Terena,Tukano,Urubu-Kaapor,Xavánte
akurihn,,nipimaãp,emaenrimby,,,eladimigipiti,,,,wirat,orekaꞌa,,yapîꞌp,,,,,namokonaseti,avanaabajana,,pahapehanaha,,kamokénopono,,pabloctañatac,
osenekunohn,,kenakotap,inomedâdoby,,,madeegitio,,,,ritotynyren,naikaꞌa,,yuꞌnaꞌtîꞌp,,,,,isoawi,vavajoroni,,tsikumunaha,,íhaken,,jitanacapäcuśhanman,
akuohn,,ninapap,kyispiritu,,,yowie,,,,rabedetỹin,jarekaꞌa,,ayenum,,,,,xahekoti,vanahoarihabakhia,,mytahara,,mapikóv,,yaycuycul,
oximõn,,atakanapap,iwenihoby,,,ilegexe,,,,rininimyhỹren,jumiꞌa,,rumakapîtîꞌp,,,,,wimatyakekone,biakarabaja,,tsimysiboboknaha,,ikotívexo,,camalaycälichinquiman,
ypynohn,,imaxiõp,kiuntudân,,,anoyatico,,,,riòbitinyõhy,ekaꞌa,,karakaꞌp,,,,,wiyoimita,kakodiajahaki,,ikyzik,,ipâr,,allinninlä,
orẽn,,mamĩteen,mâingonotomoby,,,nilipati,,,,reròtedỹỹn,pẽkaꞌa,,yettapurîꞌp,,,,,iji,akamada,,myzahamyijakanaha,,haîn,,malcayquicunapïñatac,
ekamopit,,makananitap,kâunrutomoby,,,anejigotio,,,,rewinyren,janekaꞌa,,atîꞌnapannîpîꞌp,,,,,keri,avisonijoraki,,tsimyharasusunaha,,onínov,,lulaynincunapï,
jamihtanohp,,apaiaõkap,kâtoby,,,moikeetio,,,,rexiwaritinymyhỹren,tejuu,,yaꞌsantîꞌp,,,,,hirai,avikhajabana,,nitsasonaha,,koepékexopono,,cutimul,
enezomop,,pimĩteen,xykyhomoby,,,dinoojetetedio,,,,roholaõhy,ikaꞌa,,yarimaꞌp,,,,,kaxekaki,akabai,,tsitsunaha,,ikútix,,cawsaypälä,
ahtanohp,,kiomãtxip,tyeinwântoby,,,idimonyatedini,,,,riwawiòhenanyhyymyhỹren,pejekaꞌa,,yenunpîtîꞌp,,,,,nawaiyiti,kabajadi,,nisierek,,pohúxinov,,chaymantac,
omõn,,akenakoenetap,tâkehomoby,,,libikotani,,,,ararybeõmahãren,teagoꞌ,,etaꞌp,,,,,kaoloxi,ovakaijokajana,,nitsasokoro,,ipihépono,,mandacücunätac,
oseseht,,himarotap,tâzeken,,,icoolati,,,,iruxeraren,tiag,,yenponkaꞌp,,,,,kaxomokakahi,oanajoiribani,,piperyky,,urúkeov,,tantactalä,
enaroxitapãn,,himaxinĩkaretap,nhangasagânehoimby,,,libooni,,,,reròten,aruagoꞌ,,kiꞌmaꞌp,,,,,ekahinaetyake,kanofi,,ziknasibakanaha,,koturíhiko,,quïdacalcämulatac,
nyhn,,aõkap,nhenomedâdomoby,,,anelatedi,,,,riòtityn,pejejero,,yenpoꞌp,,,,,kawiyakoti,onaibavi,,tahadisahanaha,,itukópono,,rïcuyächïcä,
ikararahn,,kenakoenetap,aguenripy,,,noditedico,,,,aratidiren,pejeagoꞌ,,yonpaꞌp,,,,,makaotyakenehareta,dokhohahavi,,nimytsumuẽhĩ,,mborexókono,,trïgucunätañatac,
ẽmehn,,hĩtotap,idasera,,,ipoditini,,,,riherinan,oreremirero,,ukupîꞌp,,,,,awaiyekehalakai,ikavarani,,inakymy,,koyoníno,,licapayalcaptin,
ekaropit,,iposop,iwepi,,,iicia,,,,riraòmyhỹren,wewew,,saꞌnamaꞌpîtîꞌp,,,,,ahalakoatyahi,binofijana,,iknaparak,,îye,,chacchapacüluptin,
htomakehp,,ketotap,tagâikezen,,,odinaxawati,,,,rubereren,pejejuagoꞌ,,panamapîtîꞌp,,,,,katawane,oahafianihi,,katsotyspyk,,êkino,,palapäcuptin,
wãtanohp,,aãtaerekatap,tâjile,,,madinixomitini,,,,rityyn,jooꞌ,,etapîtîꞌp,,,,,kaxaikotyaki,pororo,,jabastu,,númikuxoken,,herodespï,
oriorihn,,nokap,iwape,,,ǥodioni,,,,raroorehen,aip,,yanum,,,,,kaxaokaki,dinofi,,itsae,,ínako,,aplächimaptin,
wenikehn,,iõkatsopatap,âweompy,,,adooti,,,,ixiwededỹỹõren,orojeapy,,yenupapîtîꞌp,,,,,wisemaki,onofibakhia,,zitsak,,ihíkaxe,,talïläliptï,
poremãn,,maxinĩkaretap,iweompy,,,nigolonee,,,,risỹnymyhỹren,pejejerek,,kuꞌnaꞌp,,,,,ahi,kahojaribanaoni,,ikypyk,,imaíkinov,,malcäćhü,
porohkap,,aõerekap,âtuguguedân,,,adoenata,,,,rityn,tejemirek,,yaꞌpiꞌtanîp,,,,,hoholai,biakaso,,tsimyhyrizikosokdanaha,,kehiyán,,chalapacuptin,
owõn,,auikaãpot,ogonda,,,jadeegitico,,,,riõren,pejejeapy,,imaꞌtanîp,,,,,hahekoi,khararijana,,tsimytsuk,,eyékoxopono,,cutiptï,
etỹn,,ikatamẽk,egatuwâniby,,,anewaligiti,,,,rewokuwydyn,jereapy,,tîkup,,,,,xakaihakala,okarajomi,,tsiksibakanaha,,kayakákino,,ispiritullapïtac,
enahp,,pixipok,tutuzen,,,libinieni,,,,riumysaõnyren,weapy,,waikapîtîꞌp,,,,,kolai,anaabajana,,myhyrikosokdabyi,,ítukexo,,isquirbishancäćhü,
osũn,,aiotokak,matomoby,,,modoeje,,,,rarariòw,simã,,yenomîꞌp,,,,,amehexaikohalikiji,inaabosiri,,irapa,,itokúxe,,läduscanćhü,
ataryp,,iketot,tâensen,,,mena,,,,rirahananyren,jarejeapy,,yenupaꞌp,,,,,wihohisakoi,avakanabadakhama,,hane,,koexókexop,,nïtac,
zeip,,pitxit,ywynedomoby,,,anidakitio,,,,irid,wagoꞌ,,wontîꞌp,,,,,milihisakita,kavahoja,,tsiktsasonaha,,itavókope,,juchacunapïtalä,
ẽn,,amisãkiret,kunâgoby,,,anoixi,,,,rexiòlòdỹỹn,napaul,,inîmîkîꞌp,,,,,xatawi,binanamitha,,tsimynazuzukuknaha,,kaxunákopono,,tullun,
epoiht,,otakanap,kâty,,,laciloti,,,,wesem,temon,,meꞌpoꞌpîtîꞌp,,,,,hamoki,vanaabinihanana,,jek,,kayukópinokono,,jinamanñatac,
zekĩtapãn,,piãtap,âwanopy,,,etacedini,,,,ritorun,neapy,,yewaꞌtîpîtîꞌp,,,,,mawaiyekehalakati,vavahojahanana,,pomonaha,,énovoken,,cuticulcul,
ezehn,,homitik,inwenihoby,,,yokoletedico,,,,riteysadỹỹnytyh,pedr,,wîꞌnîꞌpannîp,,,,,nahotyalikihiti,vakavarajomi,,unopokte,,apurúnone,,jonamñatac,
ihnam,,katakakitapet,einwântân,,,ietico,,,,rarumahãren,nemirek,,yanumîꞌp,,,,,hakaixareti,varagaribakhia,,nipamykysokozo,,namukópono,,ćhäcänuy,
jeunohn,,hãpaiaõk,itâniby,,,dinilegetini,,,,ioxisỹn,paul,,itîrîꞌp,,,,,naoki,ahojajana,,panynaha,,itukínope,,läduscallaćhü,
juãnohn,,xinit,nhetadâdoby,,,modalitio,,,,ritỹỹraxiren,ojoty,,ikoꞌmannîp,,,,,hikoi,kabajadijana,,pahasukyrikiknaha,,puyakóv,,luläcunapäñatac,
oenekunohn,,kenakoenet,sawedân,,,icawaani,,,,rieryõmyhỹren,okatuꞌoka,,karapaimaꞌp,,,,,xanahi,bikavahojahanana,,tsimyzukniki,,exókove,,jucninñatac,
kuhn,,akerok,imeomby,,,golonee,,,,òwòrulỹn,janeramỹi,,ipîikaꞌtîꞌp,,,,,aokowiyahi,bikorijanaha,,tsipikbezenaha,,itúkepoino,,llantuyllan,
amẽn,,iponaniãkitaãk,âjitaumbyguehoby,,,aniatagi,,,,retỹỹraxin,oroty,,meruntîtannîp,,,,,mokoseta,nasohiri,,mynakoksoho,,kopuhíke,,niman,
otũtanohp,,nimisãkirepiret,todonen,,,oiwilegiti,,,,rehemynyõhy,jerua,,yakiꞌtapapît,,,,,xihohisakoi,vagathanihanana,,napok,,haxakínov,,chaycunaćhü,
oexixihmap,,kamataparat,nhakâjihomoby,,,baxiawaani,,,,rarybemyhỹren,imonoka,,pirikkapîtîꞌp,,,,,nahaki,avahojajana,,nisihyrinymyryba,,noixóheixo,,nishanwan,
ixixĩn,,pimin,sahuadân,,,enatakatio,,,,rirajuamyhỹren,emokãꞌẽa,,saꞌmannîp,,,,,xaiminiji,akaradafarahana,,nikozokonaha,,uxopono,,duyñullä,
emãn,,apima,nhynanâdân,,,maliiti,,,,rityyhynyõhy,kwakupa,,uyausinpapîtîꞌp,,,,,xawaiyeti,bikaitonia,,punuba,,mborexópe,,pachallatac,
yhnam,,niãtap,kyâhoby,,,dibatacio,,,,iõren,remiywykai,,kainumîꞌp,,,,,nokehexoawi,vakatarasara,,inasikypykyk,,ihókov,,ćhaquincunañatac,
enyohn,,opaxit,eogumatoby,,,igotedio,,,,raratyseben,poromoferapa,,uyenum,,,,,xakaihakere,bikaibavijahahijora,,nizihikiknaha,,hupixópono,,imanichwan,
otonẽn,,hãuikapiret,tânyzen,,,odakapeti,,,,riwaijehy,nekwa,,moꞌkaꞌp,,,,,airakoanehareti,hibakhia,,atae,,kouhépekopone,,caycachil,
ipoiht,,onik,yapioguhoby,,,lioda,,,,rarybeõhyyren,pejejoty,,yapisîꞌp,,,,,wiseri,kananamitha,,mynahyrizikponaha,,sipóheopone,,ćhawpichayalcaptin,
irohn,,kosek,nhetân,,,dakagitini,,,,rieryõhyymyhỹren,ajemuaẽma,,tarumaꞌtîꞌp,,,,,kaxaimisaki,ivanitihahavi,,mymysininiwykynaha,,níp,,yaćhayächishanćhü,
ẽsemãn,,akirinãt,xynanâdân,,,miniti,,,,ritaõhyymyhỹren,jãna,,kuꞌpît,,,,,aiyatelikihiti,biakarona,,myzoike,,yepemíno,,mañaculcänayquipä,
aroar,,tseẽt,ewypy,,,dalediti,,,,riiraòmyhỹren,resaukaa,,ikuyukuyumaꞌp,,,,,kanakairihenahi,avanokha,,hyritsik,,koyuhópono,,ćhïniyantac,
epokõnohn,,isikaimaroret,kieinwântoby,,,ipecitio,,,,riwiuròn,rejaa,,ekaranmapoꞌp,,,,,kaxihatyaki,binaoni,,mytyktsehezo,,koyuhô,,willaycuyäśhuptiquilä,
zonohn,,hiamonĩk,tâpywazen,,,ataje,,,,ratxioron,pejemuꞌea,,yausinpaꞌp,,,,,iraisekoatyati,biakodia,,mynatsunaha,,indeôv,,jinayaptin,
oxinom,,iotik,nhangasagâdoby,,,anoyadee,,,,reteònyrenyõhy,orojemienu,,yaiꞌmeꞌp,,,,,hawaiyeti,kafari,,mozoknikinaha,,inono,,pucutaycänü,
oserehn,,xinikaxitit,ohogüindân,,,adalatawaani,,,,rexiryben,imoga,,pont,,,,,naowi,avagaha,,tsiknazuzuknaha,,ókinono,,nilcuśhanpï,
ikorokap,,axikot,idâwan,,,laloke,,,,byret,enety,,ipoꞌt,,,,,xaxikai,avakaragajana,,estuba,,imaínginov,,cawsanälä,
osekãtop,,nixipok,tutuzenryby,,,iwakateenitico,,,,renyõhy,pejekuꞌia,,yennoꞌmaꞌp,,,,,waiyakai,kabadanibakhia,,pisapywykynaha,,orevéxo,,talipäcunanpä,
zonẽn,,inapakak,kâempywadoby,,,oyeloti,,,,rirawyònyren,pẽkuꞌia,,yakaꞌp,,,,,kajihiririkisakihiti,vakaajiri,,tsimysipokzitsikinaha,,élokexe,,unaylä,
zahn,,ikisauak,aguewâtoby,,,diitedico,,,,riwotòenyren,tenupãa,,taapît,,,,,kaorehiti,biogahanana,,mynatsuk,,aînono,,muyuntac,
ukuhn,,iĩtirĩk,kyigueânehondân,,,ijoti,,,,relyywãhãren,mowoka,,waikat,,,,,haxowake,kamakari,,tsipahaharasusunaha,,kohiyáko,,manchalil,
otuhn,,oõk,udue,,,diitacico,,,,rexirãhĩren,jerekwa,,yaretîꞌkaꞌp,,,,,waxairati,bivikhaonani,,tsibezehiknaha,,ínepo,,patanćhü,
ikyryr,,pimisãkirepiret,kâengatuhoby,,,eelotaginaditi,,,,arateòwarin,ekatuꞌoka,,taapîtîꞌp,,,,,toki,sotinimanani,,motsasokonaha,,namukópe,,wiñamulñatac,
kuekepyr,,oxinik,tyetân,,,onokoletedinico,,,,rityhynymyhỹren,wemimofera,,yaꞌmorikkaꞌp,,,,,xakaikoatyahi,vanaviahanokhahahavi,,nipykba,,katarákop,,ćhuncäñatac,
totapar,,oaõkit,kâenomedâdoby,,,oniditacio,,,,rexirutaõren,janeremienũi,,uyeraꞌmaꞌp,,,,,kajiyakoatyaki,vanagaha,,tsikzapykyk,,kotohínekexop,,licuptin,
aenurutopõpyr,,akakiriok,tonomedâdoby,,,janotico,,,,raòrarunyõhy,mãꞌẽa,,piaꞌt,,,,,aiyateretyoahi,batha,,ipozo,,simohíko,,ispädawan,
okurãkatopõpyr,,aãtamakaerekat,mâendaenkuhoby,,,ajecawaani,,,,araerymahãren,wemienu,,pumaꞌp,,,,,halakiji,iavijava,,mytsyhyrywa,,mikukópono,,shimiquićhü,
tynekaror,,kaiarik,ewentâdoby,,,odeletio,,,,ihetot,jemogya,,inamaꞌp,,,,,aimenekoti,naihamahibiinini,,niyzikik,,anavókoxov,,yawarwan,
õpenehpyr,,aãpoĩt,kurutoby,,,leegitio,,,,araxiren,oporoy,,yamaꞌrunpaꞌp,,,,,makeralini,vabarariaria,,tahaytyke,,isukópono,,mućhuycäpä,
õtyrir,,atakanap,emetoby,,,odipegitio,,,,reerynadỹỹn,naokoi,,pîikaꞌtîpîtîꞌp,,,,,tyoki,biogaraha,,inaharazuk,,ipixáxo,,muyuncälläćhütac,
kymenekatopõpyr,,imatokot,kypyni,,,adeegitedico,,,,ritỹnydỹỹn,imeꞌyita,,yekaranmapoꞌpîtîꞌp,,,,,hikirakahare,biogajora,,tsimyzurukunaha,,yuixóv,,cayaptinñatac,
omõkomohpyr,,hiamot,tientomoby,,,eyati,,,,ròrarun,rawopytyma,,yaironpît,,,,,aowi,vakaihamahikaraho,,tsimykozonaha,,okovóxinove,,wicapacamuśhannü,
jaximor,,põkitik,nheindân,,,alani,,,,riòhỹtỹn,iypi,,yapurîꞌp,,,,,kaxaiyateretyoaki,najahariharibakhia,,nakaramitsitsik,,itixóp,,injirtaycamänanpä,
onenehpohpyr,,imaãtak,satoby,,,nibodi,,,,ritotyn,wekwa,,yepiꞌtîꞌp,,,,,xakakawai,adari,,izumubahanikinaha,,ihaxíkopono,,yaćhaycachil,
tõsenet,,makakatxak,tâkehoby,,,anejitio,,,,riwòren,jarejoꞌea,,uyeurîmaꞌp,,,,,wehoki,kajiri,,niparaknaha,,uxoken,,ucücäñatac,
onener,,ĩtirĩk,wakehoby,,,oyawaleti,,,,rarurunyren,pikutuka,,pinunpaꞌp,,,,,ekasekihiti,akanamasivibakhia,,mozumukunaha,,itôkopov,,israelcunañatac,
ãmorepatopõpyr,,nimĩteenek,iguedân,,,atije,,,,rotamanyren,jope,,eraꞌmapîtîꞌp,,,,,wahekoi,bikavikha,,mysibanaha,,ihíkexo,,ayaycaćhaypanü,
oupor,,akipat,tywape,,,onimagije,,,,inyõt,pejeꞌakwaaweꞌema,,rumakapît,,,,,mawaiyaki,avakahojahaninikhama,,izoihik,,ihíxo,,paycunactañatac,
aomihpyr,,nikenakot,amânhetomoby,,,nodetio,,,,retỹhiren,porerekoay,,eseꞌtîꞌp,,,,,halakihiti,akhanomi,,nepyknaha,,inove,,camacalcul,
onekaropohpyr,,pamin,âkadudân,,,elini,,,,inydinoduren,poroy,,siꞌpînpîtîꞌp,,,,,wikahasakaharetyaki,okaimaha,,tsipiperyky,,noiméxop,,pasälälil,
oripor,,hĩkerok,tâusezedoby,,,anodibati,,,,iriòreõhy,janerekwa,,uyarimaꞌp,,,,,xakaihakatyahita,bisoko,,mywatu,,venóyeov,,cacuyälalä,
ohxiror,,amiinit,saunâtoby,,,idinibootio,,,,riòhòwiren,amuꞌea,,ipîrikkapîtîꞌp,,,,,wainahi,avanamokara,,mynaharamwe,,kexépukino,,yaycuycuśhanwan,
tõsepekatyr,,napakak,iguehoby,,,lapadije,,,,rimymyhỹren,tywety,,tuꞌkaꞌp,,,,,kamalakaki,bikapatari,,nasiwezokonaha,,itepóno,,limalcuptin,
kukurãkapor,,inapokopiret,mâinwântoby,,,axawanitio,,,,rieren,porowykya,,upîikaꞌtîꞌp,,,,,xisomi,dainana,,pibezenaha,,eyekóxo,,cäraycälinanpä,
tynẽmapohpyr,,ixikaret,aietân,,,ejikeetacio,,,,wawat,janeporowykya,,ukoꞌmannîp,,,,,hakiti,vagahinajana,,inakypykbanaha,,ngousóko,,licaycunayquipä,
tunupihpyr,,auikapiret,ydadi,,,yakapete,,,,riwawisinanyren,orejemogypyyga,,yenumîꞌp,,,,,jiyaxi,kajoamorari,,nipupuruknaha,,eyekóxe,,puntanninćhü,
kuesemar,,iseret,iladoby,,,leelota,,,,rexibedewonymyhỹren,wapikutuka,,yarakkamoꞌp,,,,,xaorekoi,vigaamanani,,nizuknaha,,ekeov,,ñawïwan,
aytor,,himaroãpot,watoby,,,aninoatini,,,,abinaren,jarejoty,,yewanmîrîꞌp,,,,,awaiti,avanahoariha,,ikukuru,,itívo,,munayllanćhü,
kyneraximahpyr,,nimaxinĩkaret,emaenwâniby,,,libakajete,,,,raòbitinytyh,pẽpoia,,iwatîꞌp,,,,,xakaihahi,bajadihadiha,,nikurunaha,,úkop,,simontañatac,
ooepyr,,nixinikamanapit,sâtoby,,,lapoa,,,,rewinymyhỹren,oreꞌea,,yepiꞌtîpîtîꞌp,,,,,kaxemaisatyakehe,avaraho,,tsinauzuzuknaha,,evékop,,ayllullayquicunalä,
oemynyhmatopõpyr,,anaiat,hoguhoby,,,deletico,,,,watxiwãhãren,jeporogyta,,yenpaꞌkaꞌp,,,,,tyaonita,oobai,,pinymyrykynaha,,kamokénoye,,anchicñatac,
kuepehmar,,aiamot,nhegaseândoby,,,dabiditini,,,,reòlònyren,ojoporoy,,enuꞌtîꞌp,,,,,ainakiyati,bianavathajana,,mysiharasusukunaha,,koyúko,,tincuptin,
oerohmanohpor,,poxokot,tâwisen,,,eniditacedio,,,,rikyaran,iapoeꞌema,,iꞌpoꞌpît,,,,,nahekoi,onaabosi,,typamykysonaha,,yahikúxopivo,,lucas,
oepyrypar,,hãtatsiit,aetomoby,,,anoiwakateeti,,,,juhumanat,janereaꞌaa,,tîꞌnapannîpîꞌp,,,,,kaxaikoahi,akanaathidanoararikhama,,zumubahaninaha,,exepúkopino,,apaycaćhaśhancänü,
topehpyr,,nitxit,tâwentâzen,,,dinikatio,,,,rỹiõhy,pẽnemimune,,eraꞌmaꞌp,,,,,tyokahi,okapavakari,,nimysapybyrikinaha,,koxunáke,,aläjapacuśhalä,
ẽmyt,,hĩkipat,eamatagoruby,,,nigejotico,,,,riòlòn,jejukaa,,yepor,,,,,wá,vakoni,,anae,,itukópoino,,caśhanmannüllatac,
emyt,,amaporok,tânehonzen,,,majicitio,,,,rarayn,jarejekwa,,yaapîtîꞌp,,,,,beteti,vajahariharijana,,ziktsikzakanaha,,itúkeino,,jinalcälil,
tyhtomar,,txikot,âsegudoby,,,ajana,,,,riteytenyõhy,nemienũi,,iwontîꞌp,,,,,kaxemaisatyakehiti,dioni,,pahaberinaha,,porexópe,,rasuncäman,
tynenehpyr,,iouanat,egawântoby,,,oditio,,,,watximyhỹren,eneꞌea,,yarakkanmokaꞌp,,,,,nawaiyore,ovajahari,,tsipihobyknaha,,yexíno,,ćhïnipal,
kuãnopyr,,mipokĩk,kâentoby,,,modakapeti,,,,reixãwididỹỹn,tejua,,yeuronkaꞌp,,,,,himixita,oriakhama,,nasipaparabanaha,,epemópono,,manchalicuśhanü,
tutuisar,,iporikit,ilamparina,,,ibodicaxitio,,,,roerydỹỹnan,omojopyꞌrua,,yaikaꞌp,,,,,waokowi,abitxajana,,zipoiknaha,,éxopino,,lïgilcälil,
kypenetar,,paiar,nheinwântoby,,,aneitini,,,,riõbranyren,oropoaa,,uyannoꞌp,,,,,kahakaki,binahokahi,,nisihyrinymyrykyzo,,vipuhíke,,luläcunäpä,
kyyryhmar,,iixirãk,iwanta,,,doitio,,,,rininiren,eneporowykya,,poꞌtîꞌp,,,,,kaxajiyakisaki,kajoniaha,,izumubahaniki,,hokéxoken,,quićhaycälishunayquipä,
otũtar,,ixikot,utudân,,,jibodiceti,,,,araerynanywỹhỹren,pẽnekwa,,yanuꞌnîpîꞌp,,,,,natyahi,kaihiponahavahari,,inakyok,,koipíhap,,atipäcuśhancunapï,
oryhmar,,sorok,kâjigonohohoby,,,aniditio,,,,rexiòtiidỹỹn,maapa,,ikoꞌmannîpîꞌp,,,,,hikina,dokhorisahakhama,,mytõtõbanaha,,kohiyán,,tantiachimänanchicpä,
tyhtor,,nimakananit,adakobâdân,,,lakata,,,,rariamyhỹren,jeporokatuꞌoka,,koꞌmannîpîꞌp,,,,,awaiyetyahi,vahari,,izumubahaninaha,,iyókeov,,ürallatac,
oorypyhpyr,,isãkiret,tykoroa,,,anoyokoletico,,,,rexihynyren,kuꞌiaipa,,yenpaꞌkapîtîꞌp,,,,,maxaiminiri,omabakhia,,ziakzo,,iyékivo,,paypätac,
typenetar,,kamatsiit,inmetoby,,,yalakatiditio,,,,rybyn,ꞌaa,,yeparant,,,,,miti,ibiinini,,piksizo,,kín,,cayäśhanćhü,
etapatopõpyr,,nataerekat,tâxidâdoby,,,lionigawaani,,,,rỹỹraxin,nekoa,,repaꞌp,,,,,waiyekehalaki,diahihahavi,,mytsuk,,kixoíxino,,tantiälälilñatac,
aosekazumatopõpyr,,nitanãt,igononiby,,,lategocawaani,,,,rỹỹaxiren,remienũi,,yaꞌtîꞌp,,,,,nomawenaninihareta,vakamadia,,zityrykzuwy,,itavóke,,täcunallanman,
toytor,,oauĩtet,itânryby,,,lapoawaani,,,,riwasyn,ojeupia,,panamaꞌp,,,,,hawaiyityoawi,okavagahinai,,mozikyrizikpowyzo,,exepúkope,,cawsaycuptin,
kyzehpyr,,natatsiit,sahodâdoby,,,micotico,,,,berohokỹ,ejemimomeꞌua,,ipîremaꞌp,,,,,ihalaharahi,vakahida,,mytsarakbyri,,irîkuxe,,malcaćhüñatac,
esar,,piauĩtet,nhetadâdomoby,,,atedeti,,,,rakòrunyren,remimofera,,tuꞌmaꞌp,,,,,waoki,kanokia,,hyrykokyty,,hopenóxo,,ashïcä,
ĩpar,,aãpakapapiret,ezewenrypy,,,lajipake,,,,roholamyhỹren,pẽꞌea,,waꞌtîꞌp,,,,,kaxaokowiharetyoaki,kajumento,,nakymysoho,,kousókinopono,,wañupacuynïwan,
oener,,ketot,âwenkada,,,yaxawatio,,,,riwyòn,uku,,meruntîtannîpîꞌp,,,,,mawaiyekehalaki,aani,,tsikspirikponaha,,koxunákopone,,wañuchil,
toekurãkar,,hãpokaerekat,tydasen,,,eloditico,,,,raòrunyren,remimuaranu,,ronaꞌp,,,,,kairaityaki,abinijana,,mynaparanaha,,étak,,filiposćhü,
kueset,,imaropiret,azagonropy,,,yatematitio,,,,òraruduren,jeporoy,,yarannîpîꞌp,,,,,niyá,ovakaijoka,,motururuknaha,,akexe,,wamlacunäñatac,
orir,,hãtatsopat,indyhoby,,,iticoitedico,,,,rawasenan,pẽnakateꞌema,,kanpîtîꞌp,,,,,xikaoloxi,bonobakhiari,,tasoko,,sipóhe,,acchiptin,
ooryxir,,hãpakapapiret,itondoby,,,icotio,,,,risiran,uꞌaa,,raꞌtîꞌp,,,,,kaxaiyatelikisakihiti,ivakaijokajaha,,tsimypamykysokonaha,,koexépukop,,sircaycuyaptinñatac,
ooryhmatopõpyr,,akamapoxokonit,tâzezewen,,,opilitacico,,,,riòòsedỹỹn,nerekwa,,iwaꞌkaꞌp,,,,,awaiyetyoawi,kaoni,,mynapok,,ikutíx,,munayniyütac,
ãtamorepar,,tikokak,enokuniby,,,diimicawaani,,,,reysanihikỹren,pẽporomono,,kamoꞌp,,,,,fetatyahi,kadaara,,tsinynaha,,kotohíne,,waquillan,
kukurãkatopõpyr,,mipotorik,âdypen,,,adawikodi,,,,ratximyhỹren,pẽty,,yeꞌkaꞌp,,,,,kaotyaki,avisoni,,niparakak,,yonóheixo,,lanticulcul,
tõsenuruhkar,,niamot,mâindatomoby,,,oipecetini,,,,araykytereren,motena,,piaꞌtîꞌp,,,,,faki,avibaibakhia,,ziberiki,,ókopov,,wañuycäwan,
onekaror,,okaarit,xurutoby,,,jaxoditini,,,,riywinyõhy,imowoka,,maꞌp,,,,,maiki,avavaboraboraha,,ioketseheze,,exíno,,yacüwantac,
okerekeremar,,hãpokaereka,imeniby,,,libita,,,,iratyt,pẽporoy,,akupîꞌp,,,,,kaxityahatyakihiti,vanavafori,,suknihibyi,,yixóv,,jucllamantac,
inyrihpyr,,apotxi,aetoby,,,anewike,,,,arãninimyhỹren,reyma,,yeꞌmaꞌpîtîꞌp,,,,,weroki,vavaadahajana,,zihyrizikpozo,,sipóheye,,lumiwan,
oemir,,oerekapire,nhâhoby,,,dopitacedio,,,,ruberumyhỹren,ejemienu,,meꞌpoꞌp,,,,,awerokai,afini,,nepykbanaha,,koáh,,cutilpayalcämuptin,
ĩkyryr,,patatsopa,âdaitân,,,inadeegitedico,,,,robiõhyk,ekãꞌẽa,,yeparantîꞌp,,,,,hiyita,kabarava,,mozihikiknaha,,kohíhiken,,willanäpä,
opytar,,aanikapire,kydatânryby,,,anodinanati,,,,rawahin,ferapa,,yuwaꞌp,,,,,mali,binaabahahavi,,pahatsumuẽhĩnaha,,keukópono,,isaacñatac,
ãtamorepatopõpyr,,piomaã,nhenagazedomoby,,,necalaile,,,,rõhõninyren,pãjẽty,,eepaꞌkapî,,,,,katawanakai,akaraganahinofi,,zikuruknaha,,embemíno,,uyalïlälil,
oenekunopyr,,iokanatsopa,egupy,,,dibodiceti,,,,ikot,namaja,,uꞌpoꞌpî,,,,,axaisakiji,dakhari,,nitsatsaka,,koyuhópone,,caycällaman,
onexixihmahpyr,,nimaasakapire,imezedân,,,yadotedini,,,,rexieren,uꞌea,,esennapî,,,,,semaxemai,bikarajomi,,inakozorenaha,,váherexoken,,licachinäpä,
toryxir,,hinanã,myinan,,,ninioni,,,,rabutuõhy,ꞌmea,,uyenkuꞌ,,,,,waxikai,khaonanijora,,kaik,,kotitíno,,allaycuyllanlä,
kuytor,,nisikaene,aguezesedoby,,,iwikodetedio,,,,riwawyòn,aeꞌaa,,pîikaꞌtîpî,,,,,aohiti,nabasina,,tsimytsasonaha,,ovóheixe,,ćhulaycamaptin,
tymõkomor,,okamaene,adâkehoby,,,doleti,,,,riòlònyren,tena,,uukoꞌmanpî,,,,,notyaonita,avadanodano,,tsiksapywykynaha,,itaíko,,liyalcaptinñatac,
onupir,,xikare,witondoby,,,adinii,,,,riwateònyren,orereaꞌa,,asapî,,,,,haoki,kaajiri,,nynyrezo,,íxino,,chincacücunällapä,
tõsekaror,,nikamaene,eynynonroby,,,dinatitio,,,,rasõwemyhỹren,pejekatuꞌoka,,eepîremapî,,,,,wamaojihakoi,vidafiahajana,,myspitu,,iyupáxov,,waywacayämuptin,
omihpyr,,xãpokaĩto,adâjitoby,,,dinoomatewami,,,,rihyn,ypi,,eseurîmapî,,,,,naxairai,akaabanidano,,mozumubanaha,,kapíneken,,chalapacuywan,
