Maxakalí
yĩnn
ãhĩnn
hãpxopm
ũmõg
kotĩnn
xutig
kunoxy
ãtig
yãykutn
tuknõg
opm
ãmiy
hepm
hãpxum
xupm
hãmkummug
topm
xãn
maxn
ãxũyg
xĩnn
hãpxõpm
ãyãykutn
nũm
kõnãm
tĩnn
tapm
hãpkummũg
ãxutig
nuhug
kutn
pakutn
õg
hittupm
pẽh
tõm
totn
hinn
yãytag
koitn
hãmxopm
yĩxonn
ãkummug
nakg
mãmm
nũnn
yũmmũg
nag
ãxãn
pay
kõnõnn
hãmpẽn
tig
okg
ũxutig
xupxetn
hãmyũmũg
hãmyãykutn
og
hĩnn
ãxĩnn
putn
xexkãn
ũxãn
xuxpexg
mõgkutn
xetn
hãpkummukg
ãxexkãn
ũmãg
xutĩg
põpm
axxaxog
hãpxumm
hãptupm
tatn
haxy
nũgkutn
yãyxaxog
hãpkummug
mõmm
yũmmmũg
hãmhõgnãg
ãxuyg
kaxy
hũpm
kãx
xupkũm
yenom
nion
ũxupkum
ãxupkũm
xay
mõhãmn
enitãmn
ũxupkũm
kũm
enitk
kupkũn
ũkupkũn
yĩpkum
nom
ãxupmãh
xupmãh
ũgyĩpkũm
amn
mõkn
xuhm
ãmn
kay
ẽnn
hãpxũmãh
yãytukm
xupkum
mũnn
xokpatakuhm
pipy
ãxumãh
tax
tukm
yãm
ũxupmãh
nĩynãmy
mõgn
ũxuhm
atm
ãyĩpkum
exm
xũmãh
ãxupkum
kuhm
meyam
ũyãytukm
yãykũm
ahn
epay
yõgy
ãyĩpkũm
yõgm
yĩpkũm
xuhn
nõmhãy
ãmm
yãykum
puhm
xitpen
nũyhãpku
hãmku
hãpkũ
mĩkaxx
xiptux
hapx
hãmx
xokx
kakx
axti
xupxetti
potti
kummukti
puxetti
ãktuxti
mĩyti
kopahti
ũxehehti
putoxhãm
ãmãn
mõkumagm
pukn
gõm
exn
putupn
mõkumam
yõyx
ũpukn
putm
ũkuxan
nĩkãn
em
paxm
tekn
nãx
ãtekn
nuhn
ũmãn
tupn
ũgyõyx
mõkumakm
ũgkuxan
hãmnuhn
hãmnukn
hãmpukn
ãpukn
ũktekn
kuxãn
pẽy
kuxan
ãhakm
ehm
tapãy
ãkuxãn
ãkuxan
popm
ũyõyx
ũgkuxãn
kõnãm
ũkuxãn
hãmgãyãy
hãmhõ
yãykutõ
tõ
kutĩ
ũyĩkã
koxũ
ãmãxã
hãpxahĩ
hãmgãyã
ũgyĩkã
kohã
ãyĩkã
kutã
tuknõ
yĩkã
hãpkũyã
hãmãyã
kumã
hãmgãynã
mĩmpe
kaki
ũgpuxe
ĩgã
ponno
yãpxe
yĩka
puxe
yãyĩgã
hãmx
hãmpx
hãx
hãmãk
ãyĩmõga
pap
ãpap
xutpu
yĩmõga
yĩmõgã
hãmaãk
xuk
ũxuk
yĩymõgã
ãhĩn
ãnũn
tĩn
ãxexkã
ãxĩn
yĩxõn
mõkut
ãyãykut
xet
ãxã
kuyõn
hãmpe
yĩxon
xupxet
yĩyxohõn
kotĩn
tot
hãmyãykut
pakut
hin
koit
hẽ
mõgkut
ũxã
nũgkut
tat
kõnõn
ũgp
nũyhãp
hãmãxata
tayũ
putexhãmyãxata
hãmyãxata
hãmyãxatã
hãmyaxata
ken
kũm
xophãmyãxata
ũgkum
kex
hãpkũm
xokhãmyãxata
ũkum
puthãmyãxata
nũyhãpkum
hãmkum
ãktuxk
xakixk
yũmmmũ
yĩpkutu
hãmhõgnã
hãmyũmũ
xuti
ãyũmmũ
ũmã
ũyũmmũ
nak
tihi
xuxpex
xutĩ
ãxũy
axxaxo
ãkummu
ãmi
ãti
xupak
hãmkummu
ũxuti
tuknõ
yãyxaxo
nuhuk
hãpkummũ
ũmõ
ãxuy
yãyta
hãpkummuk
kix
ãyummũ
ũyũm
mõnãy
et
axmõnãy
ũpte
mĩxux
ũgãy
ãyãyku
ũkxape
mõnã
ãpte
ũkpute
ãktuxkak
tupte
ũyãyk
nãx
ũxak
xakixkunn
mĩpkun
mõkup
nõnt
mẽk
tix
nen
pep
nãptan
tih
tah
pah
nix
pup
xahn
mĩkupn
nem
hãpxak
mẽyn
hãpxoh
exn
xum
ãktuxkunn
yĩkt
mãk
ãxak
kunn
ũxoh
kutonn
ãmãt
ũxonn
ũpep
tonn
ũktonn
mĩpkupn
ãxonn
ũpt
nixx
ãxoh
kopx
xonn
kopahy
hoky
epaponity
ãneoy
kuxye
ũkuxye
nũnye
ũmhãye
mĩyye
yẽ
mũgye
pokye
xopye
xohixye
kopahye
kĩyye
yũmye
tupye
ãktuxye
mõgye
kutõgnãgye
ẽgnãgye
yakeoye
puxetye
mõnãyxopye
kutokye
kupye
teknõgye
ãktuxhãp
mãnõghãp
ãtuk
hãmpu
ũghit
ũgpu
nãtãnãyethãp
putuphãp
kopahhãp
ũhit
keppahhãp
xakhãp
mãxaphãp
xiphãp
mũghãp
kuphãp
ãhit
putukhãp
piphãp
mõhãmm
yũmmm
putoxhãmyũmm
tikm
xikm
ũyũmm
xatekm
yum
mõm
ãyũmm
hokyũm
tekm
ũgyũmm
ãneoyũm
mm
yõkãm
ãktuxyũm
ãyĩm
kopahyũm
yũmam
hayũmm
epaponityũm
ãgm
tukm
ũyũmm
yũmmm
ãyũmm
ãyumm
xakixku
ãktuxku
ũkto
ay
tõgn
hõgn
ot
yĩkahn
tũyn
ponnohn
yãynõyn
ũmh
tuknõgn
mĩmyãmtoxm
putũmn
kumãyõyn
nãt
pam
ũmĩyn
tũmn
topahn
kutogn
putũyn
kumakn
ogn
mĩptutn
yoãn
ãmãxãgn
ãpẽnãn
õgn
hãmgãyãgn
panipn
yãh
petn
koxn
yãykutõgn
pixhãmhũmn
kõmẽnn
nõmh
xehn
hãmgãyãygn
yĩkãgn
putuxn
hãmhũmn
xohĩyn
mĩptopn
mũtikn
mãyõnn
ũgpuxehn
ãxĩyn
mõkahm
hãmkoxn
ĩgãhn
xohixn
ĩgãn
ũyĩm
mĩmm
yãnãmn
yomẽnn
kumãgn
tĩgn
hãmãyãgn
hãpkũyãgn
mãyn
hupn
yãyĩgãhn
xĩmn
mĩmpehn
hãyn
xaxogãn
yãgn
hũmn
hõnh
xupy
yãpxehn
kũyn
puxehn
hãmhõgn
nakn
kohãgn
ũhaxn
pãm
putõyn
tũnẽmn
hokn
tãmn
mõgn
hãptũmn
kutõn
kutãgn
hãmhumn
tupn
kutĩgn
hẽnp
xuxn
xohihn
kakĩyn
ãhĩyn
kakixn
ãpetn
kãmn
hãmpẽn
haxn
ãyĩkãgn
kummuhn
kakihn
ãmuxn
egn
yohmẽnn
togn
mãtikn
hãmgãynãgn
ũgmãyn
kutõgn
ũgyĩkãgn
pãmn
kõmn
topn
xũyn
ãyn
ũyĩkãgn
onh
ohn
mõghõm
koxũgn
mãgan
kaxn
nõyn
kãgm
katãmn
õhn
naxn
pãy
tõyn
hãpxahĩgn
hãmmãyn
hãxo
ãhittu
hĩttu
hãmpxo
põ
hãmxo
yãyhãhu
hãptu
ũhittu
putexo
ũghittu
mĩkaxxe
kakxe
ũgxe
xiptuxe
ũkxe
mĩkaxxa
xokxe
hãpxe
hapxe
hãmxe
hũ
hãxo
ãhittu
põ
hãmxo
hãpxõ
hãptu
nũm
hamy
ũpun
yãykux
gãyx
etx
ũkxapex
xaxt
ũxapt
ix
ũptex
yĩyx
ãyãykux
xapt
hãmhit
ũhit
ũgãyx
axmõnãyx
ãpx
axen
ũkputex
anixt
anen
konn
ãktuxkakx
mĩxuxx
xokx
tuptex
mõnãx
kakx
pag
hãpxapt
ãhit
ãptex
kiniy
yĩkonn
mõnãyx
pak
mõkputoxk
kunoxyã
xutigã
xetnã
yõkãnãmã
yĩxonnã
mõmmã
ãmõgã
yãyxaxogã
xitnã
tĩnnã
hĩnnã
hãpkummukgã
gãyã
ãtigã
ãnã
nũnã
xakgã
hãpkummugã
nakgã
hãmhõgnãgã
yãykutna
õgã
hipmã
kixgã
xanã
yãykotĩnnã
kãyã
tomã
yũmmũgã
nũmã
ẽgnãgã
ũpugã
yãykutnã
hãmyũmũgã
mõknã
hãptupmã
ũmõgã
totnã
yĩxõnnã
hãmyũmmũgã
ũnã
xupmã
putnã
ãmiyã
ãyummũgã
tapmã
nĩmmã
ãnũnnã
tupmã
kotĩnnã
kuxyã
hittupmã
yĩgã
hupmã
hãmmaxnã
ãknĩ
kõnãmã
yĩpkutugã
xexkãnã
tõmã
ãxuygã
hãmxopmã
ãkutnã
axxaxogã
popmã
hũpmã
koitnã
yũmmũga
xutĩgã
ogã
ũgnã
ãkummugã
mãmmã
ãxĩnnã
yũmmã
yĩnnã
opmã
hinnã
xĩnnã
putexhõn
mõxa
ãhittupmã
ũxãnã
ũyũmmũgã
kutnã
xuxpexgã
kupexyã
tuknĩ
topmã
hãpxupmã
kummukgã
kuyõnnã
ãxexkanã
tuknõgã
hepmã
xũygã
kummugã
nagã
kõnõnnã
xãnã
okgã
xaxogã
ugã
hẽnã
mõkutnã
hãpxummã
tigã
mõgã
hogã
tatnã
ãxexkãnã
ãxãnã
hãpxõpmã
hãpxopmã
hĩnn
põpmã
nũnnã
pẽhã
ãxutigã
haxyã
ãpẽnã
nuhugã
hãmkummugã
ãxũygã
xupepmã
maxnã
hãmpenã
mõga
xophõn
pakutnã
nuhukgã
axhõn
penã
xupxetnã
ãyũmmũgã
payã
ũxutigã
hãxopmã
yãytagã
nũgkutnã
hãpkummũgã
ũmãgã
hãmyãykutnã
ãhĩnnã
hãpxumã
ãmigã
mõgkutnã
xupakgã
pota
hãmpẽnã
yĩyxohõnnã
tihigã
kaxyã
ãyãykutnã
yũmmmũgã
pottik
hãmmũ
puxettik
xopyũ
xupxettik
mĩyyũ
kopahtik
mĩytik
ãyõkã
huk
yu
axtik
tix
hak
ãktuxtik
kummuktik
ũxehehtik
ãpakyũ
xophãmyãx
hãmyax
putexhãmyãx
hãmyãx
xokhãmyãx
puthãmyãx
hãmãx
hap
xiptu
ũgyĩpk
ũgp
ũkyĩpk
yãyp
ũyĩpk
nãpta
ũxon
ãktuxkun
mĩpkup
ũkton
ãxon
mĩpku
mẽy
xakixkun
mĩkup
kuton
hũp
hãptup
hãpxõp
tõ
põp
ãhittup
hãxop
hip
mõm
hãpxup
kõnã
op
hãmxop
hãpxum
hep
yõkãnã
hãmx
hãx
ũyũ
hamyũ
ãyũ
ũgkuxã
ãtek
ũmã
ãpuk
ũgkuxa
hãmnuh
kuxã
nĩkã
ãkuxã
hãmnuk
ũpuk
ũkuxa
ãkuxa
kuxa
ũktek
ũkuxã
hãmpuk
tã
paku
koi
xupxe
nũgku
ãyãyku
mõgku
hãmpu
hãmnu
ũkte
ip
ayĩp
nãgyĩ
yĩmãg
pex
xina
ãyip
ĩp
nĩp
kõnãg
ũmãy
nĩynãm
nõmhã
epa
ãyi
ayĩ
ãhitt
xokhãmyãxa
putexhãmyãxa
xophãmyãxa
hãmãxa
hãmyaxa
puthãmyãxa
xopk
xũyk
kene
inu
nẽ
heh
tane
yoh
ãyĩk
koh
hãmgãy
ãmãx
hãmãy
hãpkũy
ũgyĩk
ũyĩk
hãmgãyn
punen
pune
ũpune
puthãmyãxatam
hãmyaxatam
ũgkox
tikoxy
kexm
yãyput
hãmkumm
ũgyĩpkut
nũkt
ũkumm
ũkox
ãput
ãyĩpkut
mõkt
hãmyãxatam
xutn
mãpx
yãykox
pap
ãyuh
paxp
mãmx
hãmyĩpt
tuh
hãmyãxatãm
ãkox
hãpkũmm
ãktuxt
hãmyãynuh
hãmyĩmt
yãmyĩpt
ũyĩpkut
ãnuh
tept
nũyhãpkumm
ũgkumm
tayũm
yãynuh
ũgput
xunn
putp
tikoy
kũmm
xophãmyãxatam
hãmãxatam
xokhãmyãxatam
yĩpkut
putexhãmyãxatam
ũkyĩpkut
ũpap
kenm
hãpkũ
hãmgã
yẽy
yakeoyey
yãyput
naxt
ũmõkput
kãyãn
mõgput
kutõgnãgyey
nãgyĩk
pexk
ũgyĩk
puxetyey
kapan
kĩyyey
mõkuk
ãyĩpx
yũmyey
nũnyey
ẽgnãgyey
kopahyey
ũyĩk
yĩyx
hept
xopyey
mõnãyxopyey
teknõgyey
tupyey
kupyey
tinip
mõkput
yĩyk
hãmyĩk
kõnãgk
xohixyey
nãk
xet
ũyĩpx
ĩpk
mãyk
mõgyey
ĩpx
ãyipk
kuxyey
ũgyĩpx
kutokyey
yĩmãgk
xãpx
ayĩpk
ãktuxyey
mĩyyey
ãyĩk
ũkuxyey
yex
mũgyey
ũgyĩpk
ũmãyk
ũmhãyey
pokyey
xetx
ipk
xokt
nĩpk
eman
xinak
ãmõkput
ũyĩpk
yenoyan
yohm
yom
hehm
mĩtin
yeyoyan
ẽp
kenem
yẽnoyãn
ponon
amin
kahn
kom
nẽm
tinip
tanem
nem
kenex
yan
mãnan
kohn
inum
epik
mõkputox
