Apalaí,Apinayé,Apurinã,Bakairi,Guajajara,Guarani,Kadiwéu,Kagwahiva,Kaigáng,Kaiwá,Karajá,Kayabí,kayapó,Macushi,Maxakalí,Mundurukú,Nadëb,Nambikuára,Parecis,Paumarí,Português,Rikbaktsa,Sateré-Mawé,Terena,Tukano,Urubu-Kaapor,Xavánte
eya.,ra,sãkire.,kelymo.,ꞌar,yva,niɡ̶idiaaɡ̶idi,katu,tó,gwemimboꞌe,ywina,ꞌua,me'õ,pona,pet,cĩcã,bä.,fa³­ri³­se²­a²­,xamani,ni'aha:,homem,ustsa,pyno,"itukó'oviti,",toopɨ́,yaćhapacünincuna,uptabi
moro,kêp,ikinika,aguehobyry,naꞌe,heꞌi,"oko,",ei:,ri,tee,riòre,tee,"be,",manniꞌ,hãpxop,ipi,takꞌëp,kwa²­,nexaha.,ira,discípulos,wasani,kuap,yara,wapa,rasun,pese
toh,xwỳnhjê,ninoa.,mârâ,izupe.,peẽ,anida,ore,sir.,heta,uritere,futat.,mrãmri,pîꞌ:,yã',am,noo,a²­nũ²­a²­nã­xa­,maheta.,hija.,até,amy,iꞌatꞌe,koêti,ni'kɨ́,ya'a,"ma,"
toehse,inhmã,imoianariakori,âmaemo,kwer,ára,nipodigi,nurã,nĩ.,peteĩ,wese,ywy,mex,esaꞌ,te:,o'ju,sahõnh,ju³­te²­a²­,tehitiya,bada,mais,okyrysaro,hin,koekúti,masa,jinantin,zéb
"mana,",harẽnh,iteene,âmaemo.,xe.,regua,liboonaɡ̶adi,e'i,tag,judeu,hãwã,mũ,ja,pia,'ãktu,pima,hã:,whãi²­na¹­,natyo,bana.,pai,ibo,eꞌat,yaneko,ãyuró,jesus:,aba
tyya,amã,auakani,wâne,tuwe,xee,icota,"javo,",sór,rire,xiwena,are.,nhõ,inkamoroya,max,bit,hẽnh,ĩ³­nxa­na²­,awa,ija'ari-ra,pessoas,iktsa,yn,xâne.,pakɨ,nuna,u
repe.,pre,iua.,arâ,"no,",teĩ,niɡ̶ini,javo,nén,"katu,",judeu,ree,meo,paapaya,'ãte,g̃ebuje,panyyg,txa­wãn³­txa­,hiye,kohana,ao,zinymyrykynahatsa,are,apêti,niîwɨ.,achca,za'ra.
typoetory,xwỳnhjaja,"ĩkapani,",ewy,ko,oo,ina,itambere'ia,sóg,arã,wana,ꞌwyriara,ba.,tamîꞌnawîronkon,mõg,tag̃,a,ĩ³­ye³­kxa­te³­nah¹­lxi­:,ihiyeha.,joão,quem,tsimaha,rakat,"jesus,",õ'âkɨ̃hɨre,quiquin,wẽ
tomo,tee,—itxana.,ato,wanupe.,ri,ditibigimed,reki,tóg.,ete,ihỹre.,futari,pi'ôk,tiaronkon,pu',i.,tób,ã̱³­xa­,xekohaseti,jaboni.,filho,“o,topyhuꞌat,—‍kíxovokoxoane,marî,chaynütacmi,tane
ro,mẽmoj,xoão,lelâlâ,zo,yvy,jiɡ̶ijaa,oko,gé.,moꞌã,sohoji,kasi,arkum,"pe,",tayũmak,o'jekawẽn,hahỹỹ,ka³­na³­ki¹­,ityani,hari'a,responde:,niy:,saꞌaw,kixoku,neê,cayan.,wama
kynexine.,ate,amarini,urâ,kury,vaꞌe.,makaam,g̃wemimbo'ehara'g̃a,nỹtĩ,ogwahẽ,juhuu,ree.,kati.,tiaron,hãm,imẽnpit,taky,a²­nũ²­ai²­na²­,kahare,jahaki,me,nikaranaha.,pe.,kixôa,ĩ'yâ,chaypïtam,di.
ase,hkê,apoka,âtâ,kwehe,oĩ,oko.,tuhẽ,ha,ruvixa,ratximyhỹre.,monou,"arkum,",ke,hãpxopm'ax,warara'acat,pong,ha²­kxa­,ite,judeus,todos,hyỹ,eipe,xapákuke,tiropɨ,cä,zezusihi
emero,te,txari:,tâlâ,paw,mbaꞌe,nigotaɡ̶a,jitehe,mãn,upéa-gwi,rarekre.,ako,tẽn,yawîrî,mũtik,wara'at,wób,hxi²­ka²­,haiyanai,jiniro,porque,maku,yi,únati,jesu.,jesuspa,ãne:
waro,omu,kitxakapirĩka,keba,ywy,pe:,eletidi,ga.,jé,raꞌe,tamyre,pype,ije,puꞌkuru,"nũn,",em,hỹ,hxi²­kan¹­txi³­,hoka.,khai,aos,sinini,ete,kúveu,bu'îri,ćhunca,"mo,"
poe,kôt,iri.,moisés,nezewe,rire,jesus.,g̃a.,pãꞌi,ko,heka.,aꞌe,wãnh,kaiꞌma,pexkox,itaybit,wë,nxe³­nxa­ha¹­te¹­,maniya,kamahini,depois,iwatahi,iꞌatꞌe.,koe,yaá,can'a.,'ri
"toto,",axpẽn,iuaritika,itaumbyry,"kury,",ava,niɡ̶icoa,pevo,"gé,",upéixa,inatxi,re,mebê,pra.,puix,iap,hadoo:,ba³­tis²­jah³­la²­,tyaona,jahari,meu,sa,ehay,—‍koati,weégɨ,pasaypi,siwi
mokaro,pê,atxiĩti,târâ,arer,jave,catiwedi,a'e,ve,teĩ,tasỹ,ojeupe,imã,tamîꞌnawîrî,"xat,",kabia,nesaa,nxe³­nũ²­la²­,xoalini,mahija,estava,kabo,wuatꞌi,váhere,"tɨ'ógɨ,",jinaptinmi,"u,"
"eya,",nom,aua,modoram,"xe,",py.,micataɡ̶a,joão,kỹ.,hikwái.,wadee,mamaꞌeukwaawa,tẽ.,yaꞌ,"'ãktu,",osunuy.,na-ããj,txu­ha²­,enokoa,vihiki,ser,atahi,irania,itukapu,no'ó,ama,ĩsiré
kynexine,piitã,ãki,joão,tuwihaw,ombovai:,limed,rehe.,"tĩ,",kwéry.,fariseu,peꞌje,tu,kaꞌ,ta',apẽn,wät,hi³­sa³­ka³­txa­,hiye:,kaba'i,também,pe:,me,—‍kíxoane.,wi'ipɨ,nunacunaca,aibâ
imepỹ,kuma,õti,eynynâ,teteaꞌu,ete,joão,na,"nĩ,”",gwĩ,joaõ,ꞌjawe,pãnh,eꞌpai,kãmãnat,ixeyũ,"hã,",yã¹­nxe²­,xowaka,hojaki,afirmo,utakta,ro,koáne,niisé,diosta,zé
ehtoko.,xwỳnh,•,ety,hekon,ijayvu,"moditalo,",ja,"ti,",hesu.,urile,"nupe,",jabej,pepîn.,hãpxopm,eipi,"nꞌaa,",ya²­la³­tu̱³­,xoare,hini,estavam,maha.,turan,koánemaka,sẽrí,chaypi,nharĩ
omiry,wỳr,ikinimane,pymâ,uhem,javi,ejitaɡ̶awatiwaji,pavẽi,mág,vaꞌe-pe,ierydỹỹna,jeꞌega,kukrà,taꞌpîiya:,kõmẽn,xe,hahỹỹh,ã̱³­xa­na²­,jesus.,ija'aria,reino,bijoikpe,rakaria,motovâti,kɨ̃ɨ,mayanpis,"ré,"
yna,apa.,hĩte.,azagâ,umumeꞌu,amboae,"ee,",rũi,mỹ.,upéa,wedu,ae,jarẽnh,miarî,mũn,kukukat,häd,ka³­te̱n³­su²­,joão,hija,são,atsatu,mio,koêkuti,kiti,manamá,za.
roropa.,paj,pakini.,ani,peme,oexa,"ditibigimed,",jate,fag,kwéry-pe,pedro,jane,kubê,anna,hãmyũmmũ,"puje,",—näk,nxe³­tãu³­a²­,exaotyakiraharenai,mahi,senhor,sibo,morekuat,mani,teeré,“chayurá,sima
tuhke,kwa,atokokana,awârâ,imumeꞌu,aipoaꞌe,liɡ̶eladi,a'ero.,"vẽ,",vai,—kai,ee,kwỳ,tauya,mũg,puye.,wahë,hai³­sxa­,tyaonita,'ba'dani,ou,anaeze,pywo,enepohikone,yeé,willacünin,uburé
ynororo.,tẽ,iuamoni.,inweniby,iapo,heko,lodoe,hugwi.,rĩr,ave.,inatyhymy,ꞌi,kunĩ,nîrî,'ohnãg.,waram,kän,nxe³­te³­na¹­,enomana,jesus:,estão,watsa,uito,koyúhoti,bu'erã́,nunacuna,wasété
ke,apa,hĩtari,ânguy,ty,"vaꞌe,",lotaɡ̶a,ogwovo,kórég,ani,ibutu,muꞌjau,bakukãmãre,amîrîꞌnîkon,xi',puxim,raky,a²­hoh³­lxi­su²­,hiso,sidaji,vai,ja,nug,ápe,kura,canan,"ni,"
"pahne,",htem,kamari,unâ,mo,reve,"mee,",no,tĩ.,ou-vy,jesuisi‑ò,ee.,pyràk.,taꞌpîiya,ha:,epe'e,me,txa­na²­,hiye.,"kaba'i,",disse,suão,ewywu,póhuti,"niikã́,",quimsa,na.
pona,tỳx,oa,pekodo,ihewe,ojapo,ɡ̶oneleegiwadi,nhaporemo,"nỹtĩ,",ndive,hãwyy,ne.,djà,innape,hittap,muwẽnuwẽn,kä,wi¹­lhin¹­sxã­,wenakalati,ka'da'di,foram,tyryktsa,pyi,yútoe,kẽ'rare,•,'madâ'â
konõto,kaj,maerekani,myakâwândy,uzapo,pẽvy:,minitaɡ̶a,fariseus'g̃a,kanhkã,asy,dohodỹỹna,nan,te,yarakkîrî,kaxĩy,juk,paawä,hi²­sen³­su²­,aliterexe,batista,pov,estuba,toĩneꞌen,íhikauhiko,ɨ̃sâre,aśhwanpa,da'ãma
ae,kêr,ate,eynynonro,her,re.,"modi,","no,",jykrén,gwive,nieru,kwaiwete,axwe,tîweꞌsen,mõktu,kug̃,see,ai³­sxã­,nexa:,ho.,ela,kaharere,uimohey,itukó'oviti.,a'ti,¿manachun,we
ehtoko,no,takari,itaungâ.,pupe,nhanderuete,inatawece,yvyakoty'g̃a,ge,po,taerydỹỹna,ojeꞌega,ama.,wîtîꞌpî,"tu',",ade,ajꞌyy,nxa­ta¹­hxa­hẽ¹­la²­.,tyoa,hiki.,tudo,ezektsa,atipy,ûti,makɨ,tuqui,ni'wam
joão,nhõ,kai,âdara,ihe.,poꞌakaa,domaɡ̶a,hahyva'ea,kri,ou,aõmybo,sipo,akubyn,warayoꞌ,xat,iboce,kyyh.,a²­nũ²­a²­nã­xa­na²­,nehena,kaija'arini,perto,ha,miꞌiria,itínoe,de'ró,jatun,"di,"
moroto,mẽhõ,itxana.,myakâwâm,wiko,neĩ,ǥoneleegiwa,pedro'ga,kãn,peẽ,adeereny,rupi,apỹnh,tîuya,hok.,okay,joom,wã²­la²­,olo,vaabono,nem,ahabo,tawa,pi'âti,pe'ere,"má,",ĩwanomro
poko.,ixpa,iuasaakipeka,"âmaemo,",hehe,oikuaa,beyagi,koji'i,e,hese,reare.,imonou,aben,tîpo,ku,moisés,hahỹ,yãu³­ka³­txa­,pedro,athi-ra,pelo,tubabatu,teran,sasá'iti,koô,tincuchin,zém
pitiko,pix,"atoko,","warâ,",wanehe,katy,domige,ymyahũ,"mũ,”",nheꞌẽ-py,iòlòna,numiamũ.,mã,see,mĩy,epesop,matëg,jã¹­nxe³­sxã­,nomita,vaipohiki,contra,pe,tukupteꞌen,kôe,werêgɨti.,nipäcula.,hâimana
kapu,hamaxpẽr,nirekari,awâkâ,ure,opa,itoataale,pyry,kurã,oho-vy,aõwesele,pejewau,rax,anîꞌ,yĩpkox,pit,herꞌoot,nxe³­kxa­nã­tu̱³­,nakairati,hojai,isto,hyrikoso,wywo,kali,masɨ́,nunacunäta,"wa'wa,"
maro.,ixte,itomaneri,tâwâlâ,awer,oporandu,lowooko,me:,ĩn,tetã,aõhõkỹmy,tywera,kaprĩ,uurî,'ok,xipat,pé,ha³­te̱h³­nxã­nxa­,haiyaharenai,naothinia,onde,uta,te,itukoa,kõ'â,jesusman,sina
omihpyry,ixkôt,nopini,awyly.,pe.,vaꞌety,ee,judeus'g̃a,venh,pyg,wahe,aꞌetea,àpênh,yeꞌka,pui,"bima,",hajõk,nxe³­jau³­su²­,taita,ipohina,sem,ispe,saꞌag,emo'u,pãhá,allinpa,'manharĩ
pata,mar,ĩkapani,âdy,weraꞌu,tetã,jicoɡ̶otibigimece,ojipe'ga,jé.,tipo,mahãdu‑ò,ajaupe.,katon,ipîkku,xat'ax,iboap,ãã,ko̱³­nxe³­te²­,akereta.,adani.,lei,ka,itote,undi,tií,chulin,"na,"
"ahtao,",kormã,ikinipoko,oday,re,ke,digoida,pyri.,nĩn,vaꞌe-rami,ixityre,anure,kwãrĩk,yeꞌnen.,pãyã,dag̃,tawꞌ,jã¹­nxa­jau³­su²­,ene,asia,suas,zubata,hamu,há'a.,apêye,masqui,mo.
joroko,anẽ,—teoso,urâ.,taw,hemimboꞌe,joan̶idaa,pe'ji,ga,upe-py,kiamy,ajemogyau.,prãm,yewîꞌ,"'ohnãg,",pũg̃,"kä,",ũ³­yho³­hi²­ki³­a²­,xihiye:,isai,assim,mykaranaha.,hawe,koéne,mɨ'ɨ̂re,licula.,wa.
omipona,kumrẽx.,pariseoakori,idyly,ae,oendu,aca,mbatera,vég,heꞌi:,rybe,jeꞌeg,pyka,nurîꞌtî,"pẽnãhã',",kuka,hawät,ki³­ha¹­li¹­,harenai,ja'di,mesmo,iharere,wyti,itukovo,pe'tise,nunacta,ĩ̱ma
moeze,tomnuj,matamatakoti,donro,"ihe,",okuapy,jiɡ̶igo,okovo,kósin,peẽ-my,iòlò,—aꞌeramũ,jarẽ.,mîîkîrîya,ka'ok,jĩjã,"mꞌ,",ĩ̱³­yau³­xa­,najikinita,nimania,das,ihumo,no,ponóvoti,da'rá,“cay,asa
exiketõ,nhỹ,sasetotxi,eyanmo,urewe.,vai,miditaɡ̶a,nehẽ:,kãmũ,hagwã.,mahãduõ,awi.,nàr,man.,xap,joão,buuj,wãn³­txi³­kxa­lu¹­:,xini,ka'oa,dia,abaka,o,emo'úti,nɨmɨ,picha,wa'wa
tuaro,htỳx,nisãkire,myani.,ài,okuapy.,fariseutedi,ruri,kãtĩ,voi.,"mahãdu,",moisesi,"bir,","tanne,","xip,",imẽnpuxim,kyyh,te²­na²­,koxaka,sasidotxi,ficou,tisapyrẽna,iuwãu,káxe,judeu,aśhta,nhisi
"poko,",apê,auakari,mawânkâ,xe,ayvu,anele,nduri,kã,yvy,biu‑ki,ꞌeramũ,mỳj,epuꞌtî,gãy,acã,badäk,e³­kxi¹­nx2ta¹­wi¹­.,haxaotyakiraharenai,gora,céu,botu,eweiꞌe,hane,niîwã:,camachicuyta,rowas'u
ase.,mra,misãkiretiko,onro,taꞌyr,anhetẽ,ijotawece,koty,régre,eterei,ihãrele,ꞌga.,arẽ,sîrîrî.,kõnãg,etaybitbin,jawén,yan¹­nã­a¹­,ferakene,bini'aha:,à,sapybara,wato,poké'e,a'té,“ñatac,a
iirypyryme,nhỹrmã,iposo,"urâ,",temetarer,nhomboꞌe,anewi.,batistava'ea,ne,yma,wahidỹỹdu,rũi,punu,warantî.,"max,",bewi,karẽn,hãi³­a²­,kakoa.,haria,dois,ta,en,ukeâti,pe'tirã,cära,"za,"
