f,b,bal,at,is,bar,i,d,abr,a,ab,cr,ins,n,v,desce,c,j,je,pa,antepa,pu,pru,descen
,,,,,,,,,,,,,norte,,,,,,,,,,
,,,,,,,,,amei,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,chamei,,,,,,,
,,,,,,,,,,,,,,viam,,,,,,,,,
,,,,,,,,,,,criam,,,,,,,,,,,,
,,,,,,,,,,,,,,viva,,,,,,,,,
,,,,,,,duas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,panos,,,,
,,,,,,,,,anos,,,,,,,,,,,,,,
,,,,,,,,,acordo,,,,,,,,,,,,,,
,,,,,,,,,ação,,,,,,,,,,,,,,
,,,,,,,,,,,,,nação,,,,,,,,,,
,,,,,,,,,,abriu,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,cumpriu,,,,,,,
,,,,,,,,,,,,,,,,choro,,,,,,,
,,,,,,,,,,,,,,,,,,,pago,,,,
,,,,,,,,,amargo,,,,,,,,,,,,,,
filhos,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,nada,,,,,,,,,,
,,,,,,,dada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,cada,,,,,,,
,,,,,,,,,atos,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,creu,,,,,,,
,,,,,,,,,,,,,,,,correu,,,,,,,
,,,,,,,,,,,,,,volte,,,,,,,,,
,boas,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,criam,,,,,,,
,,,,,,iriam,,,,,,,,,,,,,,,,,
feriam,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,creram,,,,,,,
,,,,,,,,,,,,,,voltou,,,,,,,,,
,,,,,,,,,,,crendo,,,,,,,,,,,,
,,,,,,,,,,,,,,vendo,,,,,,,,,
,,,,,,,,,,,,,,,,,,,parar,,,,
,,,,,,,,,arar,,,,,,,,,,,,,,
,,,,,,,,,,,,,numa,,,,,,,,,,
,,,,,,,,,amada,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,chamada,,,,,,,
,,,,,,,,,,,,,nazaré,,,,,,,,,,
,,,,,,,,,aquele,,,,,,,,,,,,,,
,,,,,,,daquele,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,naquele,,,,,,,,,,
,batista,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,parto,,,,
,,,,,,,,,,,,,,,,certo,,,,,,,
,,,,,,,,,,aberto,,,,,,,,,,,,,
,,,,,,,deserto,,,,,,,,,,,,,,,,
