cać,ś,je,dav,milayn,quiqu,wayuyn,cayn,da,d,j,ze,jes,ïg,mansi,sal,sa,s
,,,,,,,,,,,,,,,,,sapap
,,,,,,,,,,,,,,,,,sapam
,,,,,,,,,,judasmi,,,,,,,
,,,,,,,,,,judas,,,,,,,
,,,,,,,,,,juchayu,,,,,,,
,,jeremias,,,,,,,,,,,,,,,
,,,,,,,,,,jucwan,,,,,,,
,,,,,,,,,,,,,,mansibacuy,,,
,,,,,,,,,,,,,,,salbacuy,,
,,,,,,,,,,,,,,,,salbacuy,
,,,,,,,,,,,,,,,,,simänap
,,,,,,,,,,jucniyu,,,,,,,
,,,,,,,,,,juanwan,,,,,,,
,,,,,,,,,,juchan,,,,,,,
,,,,,quiquïmari,,,,,,,,,,,,
,,,,,,,,,,jairo,,,,,,,
,,,,,,,,,,,,jesuspi,,,,,
,,jesuspi,,,,,,,,,,,,,,,
,,,,,,,,,,jesuspi,,,,,,,
,,,,,,,,,,,,,,,,,sänuña
,,,,milayniquipi,,,,,,,,,,,,,
,,,,,,,cayniquipi,,,,,,,,,,
,,,,,,,,,,jairop,,,,,,,
,,,,,,,,,,,,,,,,,sïlüta
,,,,,,,,,,,,,,,,,sänum
,,,,,,,,,,jucpa,,,,,,,
,,,,,quiquintamá,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,shimin
,,,,,,,,,,jatu,,,,,,,
,,,,,,,,,,jalumul,,,,,,,
,,,,,,,,,,juanpä,,,,,,,
,,,,,,,,,,,,jesuslláy,,,,,
,,,,,,,,,,,,,ïguscá,,,,
,,,,,,,,,,,,jesuspis,,,,,
,,jesuspis,,,,,,,,,,,,,,,
,,,,,,,,,,jaćhapi,,,,,,,
,,,,,,,,,,jucllam,,,,,,,
,,,,,,,,,,japälla,,,,,,,
,,,,,,,,,,,,,,,,sapinpi,
,,,,,,,,,,,,,,,,,sapinpi
,,,,,,,,,,,,,,,,,sïlupis
,,,,,,,,,,,,,,,,,sinayta
,,,,,,,,,,,,,,,,,sulpäta
,,,,,,,,,,,,,,,,,sumälä
,,,,,,,,,,jacobop,,,,,,,
,,,,,,,,,,,,,,,salomëpis,,
,,,,,,,,,,josë,,,,,,,
,,,,,,,,,,josëman,,,,,,,
,,,,,,,,,,,,,,,salomëwan,,
,,,,,,,,,,,,jesusshi,,,,,
,,jesusshi,,,,,,,,,,,,,,,
,,,,,,,,,dumingu,,,,,,,,
,,,,,,,,,,,,,,,salbaśham,,
,,,,,,,,,,,,,,,,,sirbin
,,,,,,,,,,,,jesuspïta,,,,,
caćhamäla,,,,,,,,,,,,,,,,,
,,,,,,,,,,josëwan,,,,,,,
,,,,,,,,,,,,,,,,,setpa
,śhutin,,,,,,,,,,,,,,,,
,,,,,,,,,,juanmi,,,,,,,
,,,,,,,,,,,,,,,salbäśha,,
,,,,,,,,,,juchap,,,,,,,
,,,,,,,,,,juanpis,,,,,,,
,,,,,,,,,,,,,,,,,sinsum
,,,,,,,,,,,,,,,,,siria
,,,,,,,,,,,,,,,,,simeon
,,,,,,,,,,,,,,,,,sirbïcü
,,,,,,,,,,josëmi,,,,,,,
,,,,,,,,,,,,,,,,,semeïpa
,,,,,,,,,,josuëpa,,,,,,,
,,,,,,,,,,jorinpa,,,,,,,
,,,,,,,,,,jonampa,,,,,,,
,,,,,,,,,,,,,,,,,salap
,,,,,,,,,,,,,,,,,serugpa
,,,,,,,,,,,,,,,salempa,,
,,,,,,,,,,,,,,,,,sempa
,,,,,,,,,,jaredpa,,,,,,,
,,,,,,,,,,,,,,,salbanan,,
,,,,,,,,,,,,,,,,salbanan,
,,,,,,,,,,,,,,,,sarepta,
,,,,,,,,,,,,,,,,,sarepta
,,,,,,,,,,,,,,,,,simonta
caćhalpuy,,,,,,,,,,,,,,,,,
,śhäcula,,,,,,,,,,,,,,,,
,śhullcá,,,,,,,,,,,,,,,,
,,,,,,,,,,jucchá,,,,,,,
,,,,,,,,,,juntalä,,,,,,,
,,,,,,,,,,,,,,,salbaptin,,
,,,,,,,,,,,,,,,,samaria,
,,,,,,,,,,,,,,,,,samaria
caćhalcac,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,shimi
,,,,,,,,,,,,,,,,,siñalta
,,,,,,,,,,,,,,,,,sapaman
,,,,,,,,,dïdu,,,,,,,,
,śhalcun,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,siloé
,śhamú,,,,,,,,,,,,,,,,
,,,,,,,,,,jacobta,,,,,,,
caćhipis,,,,,,,,,,,,,,,,,
,śhullca,,,,,,,,,,,,,,,,
,śhäcuy,,,,,,,,,,,,,,,,
caćhallay,,,,,,,,,,,,,,,,,
,,,,,,,,,,jinallá,,,,,,,
,,,,,,,,,,,,,,,,,sulpay
,,,,,,,,,,,,,,,,samariap,
,,,,,,,,,,,,,,,,,sulpá
,,,,,,,,,,jamuyal,,,,,,,
,,,,,,,,,,,,,,,salbacula,,
,,,,,,,,,,,,,,,,,suwa
,,,,,,,,,,,,,,mansibädu,,,
caćhäśhä,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,salbacücá,,
,,,,,,,,,,,,,,,,,sïlüpis
