a,jo,apa,ap,yna,ky,m,ynan,kyn,ja,re,ta,aseta,t,j
,,,,,,mãpyra,,,,,,,,
,,,,,,,,,,,,,tỹme,
,,,apurutoh,,,,,,,,,,,
,,,,,,,,,,,,,tokõ,
,,,,,,,,,jarãnaka,,,,,
aropõko,,,,,,,,,,,,,,
,,,,,,,,,jaropõko,,,,,
,,,,,,,,,,,,,teme,
apuru,,,,,,,,,,,,,,
,,,,,,,,,,,tapuru,,,
amory,,,,,,,,,,,,,,
,,,,,,,,,,,taõke,,,
,,,,,,,,,,,,,taõke,
,,,,,,,,,,,,,tytaõke,
akumuru,,,,,,,,,,,,,,
,,,,,,,,,,,taroino,,,
,,,,,,maroino,,,,,,,,
,,,,,,,,,,,,,taroino,
,,,,,,,,,,,,,tuisary,
,,,,,,,,,,,,,,jũ
,,,,,,,,,,,,,tuna,
,,,,,kypoe,,,,,,,,,
,,,,,,,,,,,tapoe,,,
,,,,,,mõpoe,,,,,,,,
,,apatarykõ,,,,,,,,,,,,
,,apakatoko,,,,,,,,,,,,
,,,,,,,,,,,takuroko,,,
anỹnanõ,,,,,,,,,,,,,,
asakoro,,,,,,,,,,,,,,
,,,,,,,,,,,,,timão,
,,,apeturu,,,,,,,,,,,
,,,,,,meturu,,,,,,,,
,,,,,,,,,,,,,,jakorõ
,,,,,,,,,,,,,takorõ,
anỹnõko,,,,,,,,,,,,,,
,,,,,,,,,,,tarãpa,,,
,,,,,,,,,,,,,tarãpa,
,,,,,,,,,,,,,tyoro,
axĩ,,,,,,,,,,,,,,
,,,,,,maku,,,,,,,,
,,,,,,,,,,,,,tiaku,
aenõ,,,,,,,,,,,,,,
,,apanarykõ,,,,,,,,,,,,
,,,,,,,,,,,,,tohpike,
,,,,,,,,,,,,,tumykõ,
,,,,,,,,,,,tamose,,,
,,,,,,,,,,,,,tãtose,
,,,,,,,,,,,,,tonehse,
amoreme,,,,,,,,,,,,,,
,,,,,,,,,,,,asetamoreme,,
,,,,,,,,,jamoreme,,,,,
,,,,,,,,,,,tamoreme,,,
atãkye,,,,,,,,,,,,,,
,,,,,,mãtãkye,,,,,,,,
amarokõ,,,,,,,,,,,,,,
,,,,,kymarokõ,,,,,,,,,
,,,,,,mitara,,,,,,,,
,,,,,,,,,,,,,tõsẽ,
,,,,,,,,,,,,,,jenẽko
,,,,,,,,,,,,,tohkõ,
apurũko,,,,,,,,,,,,,,
,,,,,,,,,,,tapyĩ,,,
,,,,,,,,,,,,,tapyĩ,
atapyĩ,,,,,,,,,,,,,,
,,,,,,,,,,,,,tytapyĩ,
apory,,,,,,,,,,,,,,
,,,,,,,,,,,tapory,,,
,,,,,,,,,,,,,tapory,
,,,,,,mãkara,,,,,,,,
,,,,,,,,,,,,,tahpyra,
,,,,,,,,,,,,,tiro,
,,,,,,,,,,,,,toiro,
asã,,,,,,,,,,,,,,
,,,,,kysã,,,,,,,,,
,,,,,,mahxo,,,,,,,,
,,,,,,,,,,,,,tõnõko,
,,,apotoimo,,,,,,,,,,,
arotoko,,,,,,,,,,,,,,
axĩke,,,,,,,,,,,,,,
axiny,,,,,,,,,,,,,,
,,,,,,,,,,,,,tomõse,
,,,,ynapyryme,,,,,,,,,,
,,,,,,,,,,,,,toutoko,
,,,,,,,,,,,takohse,,,
,,,,,kyripyra,,,,,,,,,
,,,,,,morohne,,,,,,,,
ahtãko,,,,,,,,,,,,,,
,,,,,,,,,,,,,tukase,
,,,,,,mukase,,,,,,,,
,,,,,,,,,,,,,tahkase,
,,,,,,,,,,,,,,jerykõ
,,,apoiry,,,,,,,,,,,
,,,,,,,,,,,tapoiry,,,
apoiry,,,,,,,,,,,,,,
,,,,,,,,,japoiry,,,,,
axĩtao,,,,,,,,,,,,,,
,,,,,,matou,,,,,,,,
,,,,,,,,,,,,,,jesẽme
,,,,,,,,,,,,,,jesaka
,,,,,,,,,,,,,tõtoko,
,,,,,,,,,,,,,toiroro,
,,,,,,moae,,,,,,,,
,,,,,,,,,,,,,tineru,
,,,,,,,,,,,,,tonohse,
,,,,,,moero,,,,,,,,
,,,,,,myaro,,,,,,,,
,,,,,,,,,,,,,tokokõ,
,,,,,,,,,,,,,tosẽke,
,,,,,,,,,,,,,tupime,
,,,,,,,,,,,,,toirõ,
,,,,,,,,,,,,,tyorõ,
,,,,,,motye,,,,,,,,
arykara,,,,,,,,,,,,,,
,,,,,,,,,,,tapõ,,,
,,,,,,,,,japõ,,,,,
apõ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jupõ
,,,,,,,,,,,,,tupõ,
,,,,,,,,,,,,,tahnõko,
,,,,,,,,,,,,,tupõkõ,
,,,,,,,,,,,,,toexiry,
,,,,,,,,,,,,,teh,
,,,,,,,,,,,,,,jokuru
,,,,,,,,,,,tahe,,,
,,,,,,,ynanahe,,,,,,,
,,,,,,,,,,,,,tahe,
,,,,,,mano,,,,,,,,
,,,apano,,,,,,,,,,,
,,,,,,,,,,,,,tuhme,
,,,,,,,,,,,,,tokoro,
,,,,,,,,,,,,,,jenuru
,,,apoĩko,,,,,,,,,,,
,,,,,,,,,japoĩko,,,,,
apoĩko,,,,,,,,,,,,,,
