ly,y,k,t,h,lo,ko,yxau,so,no
,,,,,,,,sot3si¹,
,,,,,,kot3si¹,,,
,,,tha¹,,,,,,
,yha¹,,,,,,,,
,,kha¹,,,,,,,
,,kxẽ¹,,,,,,,
,,,txẽ¹,,,,,,
,,,tun³,,,,,,
,yaun³,,,,,,,,
,,,ton¹,,,,,,
,,kon¹,,,,,,,
,,,txon¹,,,,,,
,,,to,,,,,,
,yo,,,,,,,,
,,ko,,,,,,,
,,kxo²,,,,,,,
,yxo²,,,,,,,,
,,,txo²,,,,,,
,,,txĩ¹,,,,,,
,,,tẽx1ta³,,,,,,
,,,tin²,,,,,,
,,,,hin²,,,,,
,,kain²,,,,,,,
,,,,hain²,,,,,
,,,tain²,,,,,,
,,khai³,,,,,,,
,,,,hxu¹,,,,,
,yxu¹,,,,,,,,
,,kxu¹,,,,,,,
,,,txu¹,,,,,,
,,,thĩn¹,,,,,,
,,kxan¹,,,,,,,
,yxan¹,,,,,,,,
,,,txan¹,,,,,,
,,kãin²,,,,,,,
,,kau²,,,,,,,
,,,,hau²,,,,,
,,,tau²,,,,,,
,yau²,,,,,,,,
,yxau²,,,,,,,,
,,,,hẽ²,,,,,
,,kẽ²,,,,,,,
,,,tẽ²,,,,,,
,,,thĩ³,,,,,,
,,,toh³,,,,,,
,,,,hoh³,,,,,
,yoh³,,,,,,,,
,,kai¹,,,,,,,
,,,,hai¹,,,,,
,,,tai¹,,,,,,
,yai¹,,,,,,,,
,yhai¹,,,,,,,,
,,khai¹,,,,,,,
,,,thai¹,,,,,,
lyxau¹,,,,,,,,,
,,kxau¹,,,,,,,
,yxau¹,,,,,,,,
,,,,hxain¹,,,,,
,,kxain¹,,,,,,,
,yxain¹,,,,,,,,
,,,txain¹,,,,,,
,,,tẽn¹,,,,,,
,,kẽn¹,,,,,,,
,,,,hẽn¹,,,,,
,,kwẽn¹,,,,,,,
,,kãi²,,,,,,,
,,,,hãi²,,,,,
,,,thu²,,,,,,
,,kxĩn¹,,,,,,,
,,,te,,,,,,
,,ke,,,,,,,
,ye,,,,,,,,
,,,,he,,,,,
,,,tã,,,,,,
,,,,hã,,,,,
,,kã,,,,,,,
,yã,,,,,,,,
,,,,hxin¹,,,,,
,,,txin¹,,,,,,
,,kxin¹,,,,,,,
,,,tĩh³,,,,,,
,yhau³,,,,,,,,
,,,,,,,yxaut3sĩ¹,,
,,,,,lot3sĩ¹,,,,
,,,,,,kot3sĩ¹,,,
,,kot3sĩ¹,,,,,,,
,yit1ta¹,,,,,,,,
,,,,hit1ta¹,,,,,
,,kih¹,,,,,,,
,,,tih¹,,,,,,
,,khon³,,,,,,,
,,,txẽ³,,,,,,
,,kxẽ³,,,,,,,
,,kxah³,,,,,,,
,,,txah³,,,,,,
,yxah³,,,,,,,,
,,,tẽx1ta²,,,,,,
,,,t1sxã³,,,,,,
,,,tẽx1tã²,,,,,,
,,,tih³,,,,,,
,,kih³,,,,,,,
,,,txih³,,,,,,
,,kxih³,,,,,,,
,,,t3sxã³,,,,,,
,,,,,,kot3sxã³,,,
,,,,,lot3sxã³,,,,
,,,,,,,,sot3sxã³,
,,,,,,,,,not3sxã³
,,,txin³,,,,,,
,,kxin³,,,,,,,
,yxa,,,,,,,,
,,,,hxa,,,,,
,,kxa,,,,,,,
,,,txa,,,,,,
,,,,,,,yxaut3ju³,,
,,,,,lot3ju³,,,,
,,khih²,,,,,,,
,yhah¹,,,,,,,,
,yxo³,,,,,,,,
,,,txo³,,,,,,
,,kxã,,,,,,,
,yxã,,,,,,,,
,,,txã,,,,,,
,yah²,,,,,,,,
lyah²,,,,,,,,,
,,,tah²,,,,,,
,,,thĩ,,,,,,
,,,txãn²,,,,,,
,,,,,,,,sot1sxã³,
,yen¹,,,,,,,,
,,,ten¹,,,,,,
,,,thũ²,,,,,,
,,,,hẽt1sa²,,,,,
,,,thi¹,,,,,,
,,,,hxai¹,,,,,
,,,txai¹,,,,,,
,,kxai¹,,,,,,,
,yxai¹,,,,,,,,
,,kxãi²,,,,,,,
,,,,hxãi²,,,,,
,yxãi²,,,,,,,,
,,kwa³,,,,,,,
,,,teh³,,,,,,
,,,,heh³,,,,,
,,kxĩh³,,,,,,,
,,,txũ²,,,,,,
,,kxũ²,,,,,,,
,,kwa,,,,,,,
,,,txũ¹,,,,,,
,,kxũ¹,,,,,,,
,,,,hĩn³,,,,,
,,kĩn³,,,,,,,
,,,tĩn³,,,,,,
,,,thĩn³,,,,,,
,,,t3ta³,,,,,,
,,,txon³,,,,,,
,,,tre²,,,,,,
,,kre²,,,,,,,
,,,t1te³,,,,,,
,,,,hya³,,,,,
,,,,,,kot3ta¹,,,
,,,,,lot3ta¹,,,,
,,,,,,,,,not3ta¹
,,,,,,,yxaut3ta¹,,
,,kat3sũ,,,,,,,
,,,txin²,,,,,,
,,kxin²,,,,,,,
,,,,hex1sa²,,,,,
,,,,hũn¹,,,,,
,,,thãi³,,,,,,
,,kũh¹,,,,,,,
,,,,hũh¹,,,,,
,,,tũh¹,,,,,,
,,,txu²,,,,,,
,yxu²,,,,,,,,
,,kxu²,,,,,,,
,,khãuh³,,,,,,,
,yut3sũ,,,,,,,,
,yxah²,,,,,,,,
,,,txah²,,,,,,
,,kxah²,,,,,,,
,,,tet1te²,,,,,,
,,,,hẽn²,,,,,
,,,tẽn²,,,,,,
,,kẽn²,,,,,,,
,,kri³,,,,,,,
,,,tri³,,,,,,
,,,t1ju³,,,,,,
,,,tho¹,,,,,,
,,,txã²,,,,,,
,,kxã²,,,,,,,
,yun¹,,,,,,,,
,,,tun¹,,,,,,
,yxun¹,,,,,,,,
,yxo¹,,,,,,,,
,,,txo¹,,,,,,
,,,tro³,,,,,,
,,,thxa³,,,,,,
,,khauh²,,,,,,,
,,kxũ³,,,,,,,
,,,txũ³,,,,,,
,yxũ³,,,,,,,,
,,,,,lot3tãu³,,,,
,,,thã²,,,,,,
,,khai²,,,,,,,
,yhai²,,,,,,,,
,,,thi²,,,,,,
,,,tet1sũ³,,,,,,
,,khe¹,,,,,,,
,yhe¹,,,,,,,,
,,,than²,,,,,,
,,kũh²,,,,,,,
,,,,,,kot3je²,,,
,,kot3je²,,,,,,,
,,kat1ju³,,,,,,,
,,kax3ti³,,,,,,,
,yxuh³,,,,,,,,
,,,txuh³,,,,,,
,,kxih²,,,,,,,
,,,thxai²,,,,,,
,,,txain²,,,,,,
,,,,hxain²,,,,,
,,kxain²,,,,,,,
,,,thi³,,,,,,
,,khi³,,,,,,,
,,,t3sa²,,,,,,
,,,,,lot3sa²,,,,
,,,,,,kot3sa²,,,
,,,,,,,,,not3sa²
,,kot3sa²,,,,,,,
,,,tot3sa²,,,,,,
,yon²,,,,,,,,
,,kot3si¹,,,,,,,
,,,,hot3si¹,,,,,
,,,tot3si¹,,,,,,
,,khau²,,,,,,,
,,kxu,,,,,,,
,yhe³,,,,,,,,
,,,the³,,,,,,
,,,tĩn²,,,,,,
,,,,,,,,,not3jau³
,,,,,,,,sot3jau³,
,,,,,,kot3jau³,,,
,,,,,lot3jau³,,,,
,,kxĩ³,,,,,,,
,,,,hxĩ³,,,,,
,,,txũ,,,,,,
,,kxũ,,,,,,,
,yuh¹,,,,,,,,
,,,ten²,,,,,,
,yen²,,,,,,,,
,,,,hen²,,,,,
,yxãi¹,,,,,,,,
,,,t3kxai²,,,,,,
,,kot1sa²,,,,,,,
,,kwẽ³,,,,,,,
,,,thũ,,,,,,
lyhah³,,,,,,,,,
,yhah³,,,,,,,,
,,,thah³,,,,,,
,,,tra²,,,,,,
,,kheh¹,,,,,,,
,,,,her³,,,,,
,,kre³,,,,,,,
,,,then³,,,,,,
,yhen³,,,,,,,,
,,,,,lot3jah³,,,,
,,,,,,kot3jah³,,,
,,,,,,,yxaut3jah³,,
,,kit3su²,,,,,,,
,yhah²,,,,,,,,
,,,,,lot3sah¹,,,,
,,,txãi³,,,,,,
,,kxãi³,,,,,,,
,,,,,,kot3sa³,,,
,,,,,lot3sa³,,,,
,,,t3te³,,,,,,
,,kat1sa²,,,,,,,
,yat1sa²,,,,,,,,
,,,t3sain¹,,,,,,
,,kaix1,,,,,,,
,,khaix1,,,,,,,
,,kxĩ,,,,,,,
,yut3ta³,,,,,,,,
,,,,hex1te²,,,,,
,,,tar²,,,,,,
,,kar²,,,,,,,
,,,tri²,,,,,,
,,kri²,,,,,,,
,yãu¹,,,,,,,,
,,,,hãu¹,,,,,
,,,,,lot3txa²,,,,
,,,,,,,,,not3txa²
,,,txe¹,,,,,,
,yxe¹,,,,,,,,
,yhe²,,,,,,,,
,,,tut1si¹,,,,,,
,yxaun³,,,,,,,,
,,,,,,kot3sẽ¹,,,
,,kot3sẽ¹,,,,,,,
,yit1si¹,,,,,,,,
,,,,hit1si¹,,,,,
,,,,,lot3san¹,,,,
,,,tax1ji¹,,,,,,
,,,thĩ²,,,,,,
,yho²,,,,,,,,
,yxaih¹,,,,,,,,
,,,,,,kot3txi³,,,
,,,txe,,,,,,
,,,tes³,,,,,,
,,,,,,kot3sã²,,,
,,,,,,,yxaut3sã²,,
,,,,,lot3hĩ,,,,
,,,,,,kot3hĩ,,,
,,kot3hĩ,,,,,,,
,,kxũh¹,,,,,,,
,,,thũh²,,,,,,
,,,t1sĩ¹,,,,,,
,,,tut3sa²,,,,,,
,yut3sa²,,,,,,,,
,yit1tũ²,,,,,,,,
,yxaih²,,,,,,,,
,,,tĩh¹,,,,,,
,,khũn³,,,,,,,
,,,thũn³,,,,,,
,,kwã,,,,,,,
,,kxeh³,,,,,,,
